id,title,year,km,fuel,transmission,engine,price,url,photo_url
22569595,Opel Crossland X 1.6 CDTI,2018,130000 km,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",9.700 €,https://www.avto.net/Ads/details.asp?id=22569595,https://images.avto.net/photo/22569595/1030679_160.jpg
22569533,Renault Megane Berline Blue dCi 115 Intens,2018,186871 km,diesel motor,avtomatski menjalnik,"1461 ccm, 85 kW / 116 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22569533,https://images.avto.net/photo/22569533/1029974_160.jpg
22569528,Citroën C-Elysee 1.6 Bluehdi Exclusive-PDC-KLIMA-TEMPOMAT-,2016,108000 km,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",5.990 €,https://www.avto.net/Ads/details.asp?id=22569528,https://images.avto.net/photo/22569528/1029515_160.jpg
22569486,MINI Coupe ODLIČNO OHRANJENO|DAB|ASISTENCE|LED,2014,167600 km,diesel motor,avtomatski menjalnik,"1496 ccm, 85 kW / 116 KM",8.750 €,https://www.avto.net/Ads/details.asp?id=22569486,https://images.avto.net/photo/22569486/1029086_160.jpg
22569439,Audi A4 Avant,2009,,diesel motor,ročni menjalnik,"1998 ccm, 105 kW / 143 KM",5.000 €,https://www.avto.net/Ads/details.asp?id=22569439,https://images.avto.net/photo/22569439/1028537_160.jpg
22569418,Ford Focus Style 1.5 TDCi 120 KM,2018,183790 km,diesel motor,ročni menjalnik,"1499 ccm, 88 kW / 120 KM",6.990 €,https://www.avto.net/Ads/details.asp?id=22569418,https://images.avto.net/photo/22569418/1027702_160.jpg
22569412,Renault Kadjar 1.5 DCI NAVI 2XPDC ALU 17COL KEYLESS 1L JAMSTVO,2017,180000 km,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",9.990 €,https://www.avto.net/Ads/details.asp?id=22569412,https://images.avto.net/photo/22569412/1027554_160.jpg
22569401,Citroën Berlingo 1.6HDi-144.000KM-SLO-1.LASTNIK-KLJUKA-ALU-PDC,2018,144000 km,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",8.450 €,https://www.avto.net/Ads/details.asp?id=22569401,https://images.avto.net/photo/22569401/1027413_160.jpg
22096355,Opel Crossland X INNOVATION 1.5 CDTI KAM-OGRE.V+ JAMSTVO...,2019,132025 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",8.490 €,https://www.avto.net/Ads/details.asp?id=22096355,https://images.avto.net/photo/22096355/1047523_160.jpg
22108052,Nissan Qashqai 1.5 DCI LEANPAY. HITRI KREDIT BREZ POLOGA,2014,161810 km,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",6.400 €,https://www.avto.net/Ads/details.asp?id=22108052,https://images.avto.net/photo/22108052/1066066_160.jpg
22569301,Audi A4 Avant,2011,157000 km,diesel motor,avtomatski menjalnik,"2690 ccm, 120 kW / 163 KM",7.800 €,https://www.avto.net/Ads/details.asp?id=22569301,https://images.avto.net/photo/22569301/1024653_160.jpg
22569292,Škoda Octavia Combi 1.6 CR TDI DPF Family,2013,,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.000 €,https://www.avto.net/Ads/details.asp?id=22569292,https://images.avto.net/photo/22569292/1023699_160.jpg
22569227,Volkswagen Polo 1.4 TDI BMT Comfortline,2015,199500 km,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",7.499 €,https://www.avto.net/Ads/details.asp?id=22569227,https://images.avto.net/photo/22569227/101456_160.jpg
22569224,Hyundai i40 1.7 CRDi 1.LASTNIKI-USNJE-HLAJENJE SEDEŽEV-KAMERA,2014,135000 km,diesel motor,ročni menjalnik,"1685 ccm, 100 kW / 136 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22569224,https://images.avto.net/photo/22569224/1086236_160.jpg
22569067,Ford Mondeo I|AVT.|LED|ALU|KAMERA|KEYLESS GO LEANPAY LEASING,2018,181000 km,diesel motor,avtomatski menjalnik,"1997 ccm, 110 kW / 150 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22569067,https://images.avto.net/photo/22569067/1079532_160.jpg
22569034,Peugeot 2008 1.6 BlueHDI. oprema ALLURE,2016,168694 km,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",8.700 €,https://www.avto.net/Ads/details.asp?id=22569034,https://images.avto.net/photo/22569034/1078877_160.jpg
22568891,Dacia Dokker Stepway,2016,98000 km,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",7.600 €,https://www.avto.net/Ads/details.asp?id=22568891,https://images.avto.net/photo/22568891/1074689_160.jpg
22568843,Volkswagen Golf Sportsvan 1.6 TDI BMT Comfortline,2016,,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",9.600 €,https://www.avto.net/Ads/details.asp?id=22568843,https://images.avto.net/photo/22568843/1073750_160.jpg
22568769,Škoda Octavia Combi 2.0 TDI Elegance,2014,,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",5.850 €,https://www.avto.net/Ads/details.asp?id=22568769,https://images.avto.net/photo/22568769/1071724_160.jpg
